what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316963620014
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316963620173
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1316963625268
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316963625757
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316963629180
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316963634478
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316963637064
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316963641837
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316963644823
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316963662126
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316963665994
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316963666259
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316963687079
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1316963695147
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1316963695196
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1316963696068
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316963699365
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316963700255
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1316963718229
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1316963725445
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1316963744170
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1316963753111
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1316963772721
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1316963780415
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1316963794866
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316963797469
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316963798461
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316963799704
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316963841273
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316963841894
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316963844424
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1316963845920
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316963846942
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316963850490
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1316963864509
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1316963871837
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316963924660
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316964920815
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316964924947
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316964928043
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316964931183
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316964932695
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316964946634
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316964982388
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316964984072
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316964986295
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316964989200
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316964990779
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316964997028
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316965001067
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1316965009081
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316965011598
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316965018681
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1316965025605
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316965043398
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316965047680
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316965052016
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316965081303
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316965089095
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316965091378
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316965092243
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316965094850
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316965100016
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316965104525
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316965114151
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316965116344
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316965118782
